DOMAIN,NAMESERVER,TYPE,REASON,PROVIDER,DEPENDENCY,REDUNDANT,ENTITY_COUNT
oraclecloud.com,ns1.p201.dns.oraclecloud.net,private,"Domanin name is contained in the nameserver, signaling ownership",oraclecloud.net,No critical dependency,True,2
oraclecloud.com,ns2.p201.dns.oraclecloud.net,private,"Domanin name is contained in the nameserver, signaling ownership",oraclecloud.net,No critical dependency,True,2
oraclecloud.com,n2-a13.aka-ns.net,third,SOA mname points to third party: aka-ns,aka-ns,No critical dependency,True,2
oraclecloud.com,n2-a11.aka-ns.net,third,SOA mname points to third party: aka-ns,aka-ns,No critical dependency,True,2
oraclecloud.com,n2-a18.aka-ns.net,third,SOA mname points to third party: aka-ns,aka-ns,No critical dependency,True,2
oraclecloud.com,n2-a1.aka-ns.net,third,SOA mname points to third party: aka-ns,aka-ns,No critical dependency,True,2
ovh.net,ns11.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
ovh.net,ns15.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
ovh.net,dns11.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
ovh.net,ns10.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
ovh.net,ns13.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
ovh.net,dns13.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
ovh.net,ns12.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
ovh.net,dns15.ovh.net,private,NS TLD matches domain TLD,ovh.net,Critical dependency,False,1
