website,cdns,cdn_types,uses_third_party,critical_dependency,redundant,mult_third,step_id
erinn.biz,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
eroprofile.com,gcore,"{""gcore"": ""private""}",False,False,False,False,"step 5 (SOA), "
eroscripts.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
erply.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
ersties.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
escalated.io,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
escholarship.org,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 7, "
eshopadmin.com,google|fastly,"{""google"": ""private"", ""fastly"": ""private""}",False,False,True,False,"step 5 (SOA), step 7, "
espares.fr,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
esportlive.vip,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
